RECORD_TIME,R1_AVG_VALUE,R2_AVG_VALUE,R3_AVG_VALUE,H_WIND_AMOUNT,H_COLD_PRESS,H_UPRESS,H_PRESS_DIFF,H_TQXZS,H_ACT_FS,H_GDFN,S,T,¦Î
2024-03-01 15:00:00,247.53,172.53,92.76,6050.46,431.74,245.28,175.41,34.5,273.19,15523.43,0.185,484.8,0.037
2024-03-01 14:00:00,229.27,164.27,87.91,6057.96,430.79,245.4,174.27,34.75,273.55,15571.91,0.221,445.6,0.044
2024-03-01 13:00:00,240.92,146.58,77.81,6035.95,432,245.24,175.58,34.46,272.31,15382.87,0.203,500.4,0.046
2024-03-01 12:00:00,228.94,131.51,72.07,6030.84,431.91,245.33,175.72,34.34,271.78,15301.42,0.165,397.7,0.05
2024-03-01 11:00:00,256.88,138.37,72.21,6045.29,433.34,245.49,177.02,34.11,270.9,15247.63,0.19,505.9,0.048
2024-03-01 10:00:00,247.86,134.25,69.87,6025.96,433.09,245.24,176.9,34.07,270.25,15128.12,0.161,440.2,0.034
2024-03-01 09:00:00,249.86,134.4,67.4,6010.16,431.29,245.12,175.35,34.3,271.28,15179.65,0.229,423.5,0.034
2024-03-01 08:00:00,233.32,121.63,65.08,6007.24,432.67,245.23,176.7,34.01,269.56,15005.75,0.2,484.2,0.032
2024-03-01 07:00:00,273.23,128.3,71.87,6007.41,433.36,245.24,177.47,33.87,267.94,14827.73,0.225,471.1,0.047
2024-03-01 06:00:00,306.49,155.08,78.27,6048.16,435.64,245.48,179.39,33.7,270.15,15164.49,0.211,472.8,0.041
2024-03-01 05:00:00,253.63,140.44,73.7,6048.93,432.66,245.19,176.6,34.31,270.97,15251.45,0.169,468.5,0.038
2024-03-01 04:00:00,258.51,139.64,76.92,6042.45,433.69,245.24,177.48,34.11,270.7,15220.98,0.225,508,0.042
2024-03-01 03:00:00,232.25,130.18,69.9,6064.33,431.89,245.41,175.56,34.52,274.04,15648.85,0.163,398.6,0.026
2024-03-01 02:00:00,237.52,123.4,67.05,6072.58,431.93,245.17,175.78,34.65,273.79,15645.81,0.233,425.5,0.038
