RECORD_TIME,D,E,F,G,H,I,J,K,L,M
2024/3/1 15:00,63.9,90.3,54.8,52.2,50,46.3,46.5,58.2,122.9,79
2024/3/1 14:00,64.6,89.8,55.1,52.4,50.3,46.6,46.8,58.5,121.8,80.4
2024/3/1 13:00,65.2,89,55,52.4,50.3,46.7,47,58.6,122.5,81.9
2024/3/1 12:00,65.5,89,55,52.4,50.3,46.7,46.9,58.8,120.7,84.4
2024/3/1 11:00,65.5,90.2,54.9,52.3,50.1,46.5,46.8,59,131.6,86.4
2024/3/1 10:00,65.2,91,54.8,52.2,49.9,46.3,46.7,59.2,159.4,83
2024/3/1 9:00,65.3,91.6,54.7,52.1,49.9,46.2,46.4,59.2,134.4,81.7
2024/3/1 8:00,64.9,92.6,54.8,52.3,49.9,46.2,46.4,58.9,129.5,81.3
2024/3/1 7:00,64.5,92.8,55,52.4,50.1,46.3,46.5,59.1,133,79.9
2024/3/1 6:00,65,91.3,55.3,52.7,50.3,46.7,46.9,59.4,131,80
2024/3/1 5:00,65.6,86.4,55.4,52.7,50.3,46.7,46.9,59.3,129.8,80.4
2024/3/1 4:00,66.1,84.6,55.2,52.6,50.1,46.5,46.8,59,129.6,80.9
2024/3/1 3:00,66.7,88,55.1,52.5,49.9,46.3,46.6,58.6,130.6,80.3
2024/3/1 2:00,67.7,90.7,54.9,52.4,49.8,46.1,46.4,58.3,131.5,78.8
2024/3/1 1:00,68.7,93.9,54.8,52.4,49.6,45.9,46.2,58.3,125.2,78.6
2024/3/1 0:00,69.8,97.7,54.8,52.6,49.7,46.1,46.3,58.9,119.1,80.5
2024/2/29 23:00,70.9,100.1,54.8,52.6,49.8,46.1,46.4,59.3,117.8,84.3
2024/2/29 22:00,71.6,103.4,54.8,52.6,49.7,46.1,46.3,59.4,125.9,87.5
2024/2/29 21:00,71.9,101.1,54.7,52.6,49.5,45.9,46.2,59.6,143.5,91.1
2024/2/29 20:00,72.2,98.3,54.8,52.7,49.5,46,46.2,60,153.7,94.4
2024/2/29 19:00,73,98.3,54.9,52.7,49.6,46.2,46.4,60.4,172.5,90.5
2024/2/29 18:00,74.6,95.9,54.8,52.7,49.8,46.4,46.5,59.6,180,88.2
2024/2/29 17:00,76.9,91.3,54.5,52.5,49.8,46.5,46.7,58.7,177.5,86.4
2024/2/29 16:00,79.2,87.4,54.1,52.2,49.8,46.5,46.7,59.2,160.3,82.6
2024/2/29 15:00,81.7,80.4,53.7,51.9,49.9,46.5,46.5,59.3,146.3,84.1
