RECORD_TIME,H_WIND_AMOUNT,H_COLD_PRESS,H_QLWC,H_FYL,H_PRESS_DIFF,H_LYL,H_SF,H_ACT_FS,H_GDFN,OFT,TS,GFD,BFC
2023-12-18 01:00:00,6129.02,433.48,2.43,5.93,177.34,47.26,8.35,269.02,15243.52,3,1,1,3
2024-02-26 20:00:00,6039.88,434.72,1.82,6.01,178.52,47.24,20.15,270.33,15172.94,1,1,1,1
2023-05-20 20:00:00,5884.95,438.72,1.77,4.53,176.73,47.82,15.78,261.47,14281.93,1,1,1,1
2023-04-03 00:00:00,5901.12,434.05,2.85,4.86,174.39,47.74,22.22,259.55,13686.13,5,1,1,1
2023-09-27 17:00:00,5885.07,431.66,2.69,3.38,174.13,47.7,1.76,255.25,13171.77,5,1,1,1
2023-05-19 07:00:00,5968.32,438.54,1.84,4.47,176.67,47.2,16.78,261.44,14464.96,5,1,1,1
2023-09-15 06:00:00,5890.29,435.93,1.2,5.08,175.91,44.98,1.58,261.54,13851.24,4,1,1,1
2023-03-04 07:00:00,5990.37,435.99,2.3,5.21,175.16,47.73,19.63,264.86,14435.32,1,1,1,1
2024-02-08 13:00:00,5977.21,433.59,2.53,6.08,177.4,47.62,16.16,266.72,14623.06,1,1,1,1
2023-04-14 16:00:00,5739.3,427.43,1.74,2.72,173.34,43.41,19.87,248.32,12168.78,1,1,1,1
2024-01-20 03:00:00,6038.69,434.36,2.12,6.02,178.39,47.32,11.17,266.52,14749.5,3,1,1,1
2023-12-09 15:00:00,6123.05,425.59,3.08,4.25,169.81,46.88,2.09,265.11,14779.28,1,1,1,1
2023-09-21 18:00:00,5690.03,437.42,2.02,3.73,178.34,50.18,2.65,242.91,11531.38,1,1,1,1
2023-08-08 17:00:00,5925.63,435.74,1.06,5.48,174.77,46.01,4.53,257.38,13486.95,3,1,1,1
2023-07-22 02:00:00,5946.07,435.88,0.0,5.03,174.36,45.67,4.56,258.57,13644.73,4,2,2,1
2023-03-03 04:00:00,5917.05,435.44,2.33,5.28,174.97,48.31,18.64,260.35,13774.9,1,1,1,1
2023-12-24 04:00:00,5990.76,425.29,3.35,6.26,169.77,47.62,5.65,266.46,14618.95,1,1,1,1
2024-02-26 05:00:00,6043.8,433.63,1.83,6.01,177.55,46.95,20.92,271.12,15249.28,1,3,3,1
2023-08-29 02:00:00,6010.61,433.51,1.48,5.18,172.81,45.12,2.4,270.62,15145.08,1,1,1,1
2023-06-27 23:00:00,5963.99,434.54,1.45,5.01,172.33,45.68,7.85,261.41,13997.77,5,1,1,1
2024-01-02 04:00:00,6015.76,434.23,2.2,6.09,178.52,47.14,8.99,265.58,14565.16,5,1,1,4
2024-01-19 05:00:00,6025.96,434.48,2.35,6.03,178.5,47.27,10.3,262.19,14239.65,1,1,1,1
2023-09-25 12:00:00,5829.23,432.74,2.68,4.0,173.26,49.08,2.81,252.9,12812.58,2,1,1,1
2024-02-25 04:00:00,6036.0,433.99,1.9,6.02,177.58,47.33,22.03,269.53,15058.36,1,1,1,1
2023-11-28 22:00:00,6065.36,435.73,2.31,3.97,180.16,48.7,4.14,265.75,14720.69,1,1,1,1
2023-06-12 09:00:00,5754.38,416.94,2.13,2.99,165.82,45.9,5.97,262.75,14089.16,1,1,1,1
2023-10-11 18:00:00,5786.09,422.4,1.59,1.52,173.02,47.71,2.02,256.25,13059.36,1,1,1,1
2023-11-21 19:00:00,6046.25,430.8,2.88,2.16,175.27,48.8,7.26,265.59,14668.86,4,1,1,4
2023-11-23 03:00:00,5850.79,431.27,2.75,4.0,176.79,47.85,3.76,254.39,13019.33,1,1,1,1
2023-07-15 17:00:00,5838.5,433.02,0.0,5.12,174.01,45.71,4.97,250.29,12588.4,5,1,1,1
2023-12-03 20:00:00,6148.18,428.54,4.02,2.96,172.15,46.59,9.03,265.68,14910.87,1,1,1,1
2023-07-18 05:00:00,5946.32,434.82,0.0,5.03,173.26,45.66,1.39,260.04,13818.6,3,1,1,1
2023-12-16 00:00:00,6075.0,433.11,2.76,5.56,177.93,46.7,5.05,262.59,14389.05,5,1,1,1
2023-12-19 20:00:00,6074.39,437.8,2.65,6.21,181.61,48.27,7.33,265.26,14691.92,1,1,1,1
2023-06-15 02:00:00,5971.8,429.21,1.81,3.7,172.96,46.58,4.51,266.58,15044.13,1,1,1,1
2023-11-17 19:00:00,6025.66,425.83,3.22,1.3,170.38,49.12,6.31,263.54,14391.09,1,2,2,1
2023-07-05 19:00:00,6022.75,436.0,0.0,4.96,173.72,45.22,4.56,261.94,14203.73,1,1,1,1
2023-05-25 01:00:00,5867.64,436.3,1.81,4.54,174.18,47.51,12.74,263.91,14501.34,1,1,1,1
2023-05-23 12:00:00,5913.29,440.33,1.8,4.4,177.96,46.65,15.9,264.04,14623.51,1,1,1,1
2023-03-10 17:00:00,5843.56,436.61,2.21,5.12,176.48,46.72,21.9,257.49,13312.72,4,1,1,1
2023-11-18 01:00:00,6055.98,426.02,3.03,1.27,170.18,48.22,5.33,267.04,14821.88,1,1,1,1
2024-02-01 17:00:00,5987.61,432.11,2.77,6.06,176.12,45.93,13.1,269.11,14902.08,1,1,1,1
2023-10-12 22:00:00,5824.46,424.02,1.55,1.47,174.72,47.62,2.2,256.32,13162.81,3,1,1,1
2023-08-30 19:00:00,5969.08,437.92,1.8,5.23,176.94,45.19,3.46,264.89,14384.95,3,1,1,1
2023-09-18 02:00:00,5757.9,426.81,1.19,4.61,169.31,43.81,2.05,252.26,12593.84,4,1,1,1
2023-04-10 18:00:00,5842.09,437.95,1.6,4.7,176.91,43.46,18.31,251.76,12727.82,1,1,1,1
2024-02-23 16:00:00,5995.38,437.89,1.92,6.07,182.01,47.33,20.52,265.95,14568.66,1,1,1,1
2023-10-03 23:00:00,0.0,-0.67,0.85,0.0,-0.41,40.42,1.06,0.0,0.0,1,2,2,1
2024-02-15 08:00:00,6008.3,429.35,2.42,6.04,173.55,47.41,14.96,270.78,15136.06,1,1,1,1
2023-11-01 06:00:00,0.0,65.21,0.75,0.0,-0.54,79.12,2.39,0.0,0.0,1,1,1,1
2023-05-18 10:00:00,5917.96,437.97,1.69,4.38,176.02,46.85,18.29,260.15,14218.42,4,3,3,1
2023-12-08 09:00:00,6110.95,430.53,3.2,3.84,175.05,46.71,3.67,265.38,14783.15,2,1,1,1
2023-03-26 00:00:00,5944.11,424.03,2.98,5.02,162.74,46.3,21.64,264.97,14344.48,3,1,1,1
2024-01-26 20:00:00,6013.27,435.01,2.18,6.06,179.04,46.87,14.78,269.19,14975.23,1,1,1,1
